Nome,total,percentual,popularidade
AIRTON,53186,0.03,517
ROSALINA,53034,0.03,518
MADALENA,52797,0.029,519
LEIDIANE,52443,0.029,520
ROSEANE,52219,0.029,521
MAISA,52144,0.029,522
OLGA,52082,0.029,523
CAMILE,51977,0.029,524
EMILIA,51734,0.029,525
FABIANE,51711,0.029,526
CLAUDEMIR,51579,0.029,527
NADIA,51334,0.029,528
CAIQUE,50885,0.028,529
MARILDA,50869,0.028,530
EDITE,50772,0.028,531
WELINGTON,50612,0.028,532
SIRLEI,50588,0.028,533
PAOLA,50553,0.028,534
VIVIAN,50550,0.028,535
RICHARD,50270,0.028,536
IRIS,50228,0.028,537
NATHALIA,50108,0.028,538
CLEUZA,50005,0.028,539
VALDETE,49878,0.028,540
LUCIMARA,49818,0.028,541
PATRICK,49439,0.028,542
TAMARA,49282,0.027,543
LAERCIO,49225,0.027,544
GLAUCIA,49183,0.027,545
EDMAR,49110,0.027,546
LIGIA,49020,0.027,547
AFONSO,48674,0.027,548
NUBIA,48672,0.027,549
ROSE,48516,0.027,550
NOEMIA,48510,0.027,551
MARGARETE,48486,0.027,552
DAMIANA,48464,0.027,553
CLOVIS,48361,0.027,554
SALETE,48215,0.027,555
ADALBERTO,48146,0.027,556
CELINA,48127,0.027,557
NAYARA,47968,0.027,558
ROSIANE,47954,0.027,559
IVETE,47806,0.027,560
JURANDIR,47738,0.027,561
LUCINEIA,47362,0.026,562
ENZO,47343,0.026,563
GRAZIELE,47171,0.026,564
ANGELINA,46803,0.026,565
GLORIA,46774,0.026,566
NORMA,46688,0.026,567
ELENICE,46522,0.026,568
EDGAR,46435,0.026,569
ADRIANE,46407,0.026,570
HILDA,46403,0.026,571
EDIMILSON,46382,0.026,572
IASMIN,46330,0.026,573
ROSILDA,46297,0.026,574
HUMBERTO,46222,0.026,575
SAULO,46202,0.026,576
CAUAN,45958,0.026,577
SIDNEY,45889,0.026,578
ALEXSANDRO,45771,0.026,579
JUAN,45735,0.026,580
MARISTELA,45433,0.025,581
LUCINEIDE,45393,0.025,582
EDINALDO,45365,0.025,583
SIRLENE,45293,0.025,584
SILMARA,45122,0.025,585
RUTH,45062,0.025,586
MARIZA,44989,0.025,587
VICTORIA,44950,0.025,588
SILVANIA,44682,0.025,589
JONATA,44613,0.025,590
ITAMAR,44580,0.025,591
LINDOMAR,44464,0.025,592
NILDA,44455,0.025,593
ELLEN,44341,0.025,594
IVANI,44328,0.025,595
EVALDO,44173,0.025,596
ELI,44081,0.025,597
ANDRESA,44067,0.025,598
MELISSA,43887,0.024,599
KAIQUE,43857,0.024,600
ARI,43604,0.024,601
JEANE,43592,0.024,602
ADAILTON,43575,0.024,603
CREUZA,43464,0.024,604
VILSON,43319,0.024,605
LINDALVA,43064,0.024,606
ROSINEIDE,43004,0.024,607
JACIRA,42936,0.024,608
DIVINO,42843,0.024,609
JUAREZ,42811,0.024,610
COSME,42773,0.024,611
GABRIELI,42717,0.024,612
DANIELI,42655,0.024,613
GENIVALDO,42622,0.024,614
DIRCEU,42552,0.024,615
ERIK,42399,0.024,616
IASMIM,42368,0.024,617
ALAIDE,42326,0.024,618
JOYCE,42320,0.024,619
EDINA,42163,0.024,620
AMILTON,42018,0.023,621
VALDINEI,41972,0.023,622
JOSILENE,41827,0.023,623
ANDREI,41725,0.023,624
JUDITE,41518,0.023,625
MARINETE,41253,0.023,626
DIVINA,41184,0.023,627
OLIVIA,41175,0.023,628
ROGER,40981,0.023,629
LAURO,40890,0.023,630
MICHELI,40860,0.023,631
GRAZIELA,40833,0.023,632
ROQUE,40779,0.023,633
DILMA,40632,0.023,634
KARLA,40342,0.023,635
ELENA,40101,0.022,636
CRISTIANA,39955,0.022,637
MAURA,39934,0.022,638
CARINE,39687,0.022,639
JHONATAN,39686,0.022,640
DIVA,39554,0.022,641
IRANI,39543,0.022,642
LORIVAL,39530,0.022,643
GEANE,39291,0.022,644
VANUSA,39218,0.022,645
MAGNO,39068,0.022,646
RAYANE,39046,0.022,647
LEDA,39020,0.022,648
DEIVID,38970,0.022,649
ESTELA,38943,0.022,650
DONIZETE,38833,0.022,651
TAIANE,38816,0.022,652
IVANETE,38795,0.022,653
ROBERT,38733,0.022,654
ERIVALDO,38678,0.022,655
VIRGINIA,38521,0.021,656
KELI,38515,0.021,657
MARCUS,38512,0.021,658
CARMELITA,38501,0.021,659
RUI,38333,0.021,660
WENDEL,38304,0.021,661
HELEN,38277,0.021,662
SAMIRA,38237,0.021,663
EMANUELE,38164,0.021,664
MILENE,38098,0.021,665
JOELSON,37970,0.021,666
NELI,37902,0.021,667
ELIO,37816,0.021,668
ALTAIR,37797,0.021,669
OSCAR,37767,0.021,670
DAYANE,37711,0.021,671
STEFANI,37521,0.021,672
ZENAIDE,37500,0.021,673
INACIO,37465,0.021,674
GIOVANNA,37438,0.021,675
MEIRE,37373,0.021,676
ANITA,37323,0.021,677
ISAURA,37278,0.021,678
JAILTON,37066,0.021,679
ISAC,37004,0.021,680
DOMINGAS,36928,0.021,681
ADELIA,36908,0.021,682
GEOVANI,36907,0.021,683
FREDERICO,36821,0.021,684
LAIANE,36790,0.021,685
HEITOR,36752,0.021,686
MARINES,36750,0.021,687
NATALI,36619,0.02,688
VANDERLEIA,36614,0.02,689
ISABELLA,36375,0.02,690
QUITERIA,36305,0.02,691
GEORGE,36239,0.02,692
SARAH,36228,0.02,693
BERNADETE,36211,0.02,694
AUREA,36143,0.02,695
AMAURI,36059,0.02,696
IAN,36043,0.02,697
ROMILDO,35972,0.02,698
DANIELLE,35963,0.02,699
IVANILDA,35851,0.02,700
JESUS,35774,0.02,701
JOSIEL,35738,0.02,702
KLEBER,35606,0.02,703
LEVI,35520,0.02,704
KAIO,35484,0.02,705
LEONICE,35480,0.02,706
ALDO,35413,0.02,707
ANE,35365,0.02,708
KEVIN,35290,0.02,709
ISAQUE,35186,0.02,710
SHIRLEY,35155,0.02,711
